pregunta,categoria
¿Cómo se desarrolla el turno en Azul?,informacion
¿Cuántas partidas gana en promedio Exploding Kittens?,estadisticas
¿Quién colaboró en el diseño de Hive?,relaciones
¿Quién ilustró el Wingspan?,relaciones
¿Cómo se juega el Jenga?,informacion
¿Qué tan popular es el Timeline?,estadisticas
¿Qué rating tiene el Exploding Kittens?,estadisticas
¿Qué mecánicas tiene el Uno?,informacion
¿Quién trabajó para el Stratego?,relaciones
¿Cuántas partidas gana en promedio 7 Wonders?,estadisticas
¿Quién editó el Exploding Kittens?,relaciones
¿Cómo se gana en Hive?,informacion
¿Cómo se gana en Dominó?,informacion
¿Quién trabajó para el Hive?,relaciones
¿Qué personas hicieron el Just One?,relaciones
¿Cuántas partidas gana en promedio Dominó?,estadisticas
¿Qué elementos trae el juego Tabú?,informacion
¿Qué elementos trae el juego Zombicide?,informacion
¿Qué elementos trae el juego Dominó?,informacion
¿Qué mecánicas tiene el Dixit?,informacion
¿Quién diseñó el ajedrez?,relaciones
¿Cuál es la edad recomendada para el Póker?,estadisticas
¿Qué tan popular es el Everdell?,estadisticas
¿Cuántos jugadores pueden jugar Azul?,estadisticas
¿Quiénes son los creadores de Pictionary?,relaciones
¿Cómo se gana en ajedrez?,informacion
¿Quién editó el Twilight Struggle?,relaciones
¿Qué puntaje tiene el Catan?,estadisticas
¿Cuántos jugadores pueden jugar Patchwork?,estadisticas
¿Quién diseñó el Just One?,relaciones
¿Qué tan popular es el Tiny Towns?,estadisticas
¿Cuál es la posición del Bang! en el ranking?,estadisticas
¿Qué elementos trae el juego Everdell?,informacion
¿Qué reglas tiene el Uno?,informacion
¿Quién colaboró en el diseño de Ark Nova?,relaciones
¿Quién participó en el desarrollo de Póker?,relaciones
¿Qué tan popular es el Pandemic?,estadisticas
¿Qué mecánicas tiene el Pandemic?,informacion
¿Cuál es la posición del Dominó en el ranking?,estadisticas
¿Quién diseñó el Bang!?,relaciones
¿Cuál es el objetivo de Patchwork?,informacion
¿Qué puntaje tiene el Clue?,estadisticas
¿Cómo se gana en Zombicide?,informacion
¿Cuántos jugadores pueden jugar ajedrez?,estadisticas
¿Quién participó en el desarrollo de Uno?,relaciones
